Fuel Type Code,Station Name,Street Address,City,State,ZIP,Status Code,Groups With Access Code,Access Days Time,Cards Accepted,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,EV Connector Types
ELEC,Buffalo State - Cleveland Hall,1300 Elmwood Ave,Buffalo,NY,14222,E,Public,24 hours daily,,0,2,0,Non-Networked,GPS,42.932067,-78.88137,2024-03-14,104734,2024-03-14,P,,,2018-02-01,J1772
ELEC,Niagara Power Vista,5777 Lewiston Rd,Lewiston,NY,14092,E,Public,24 hours daily,,0,6,0,Non-Networked,GPS,43.14073,-79.037348,2024-08-15,147095,2024-08-15,SG,,,2019-10-01,J1772
ELEC,Hatchet Hardware of Waterford,42 Saratoga Ave,Waterford,NY,12188,E,Public,24 hours daily,,0,2,0,FLO,GPS,42.782254,-73.696148,2024-10-29,165117,2024-10-29,,,,2020-08-11,J1772
ELEC,PEPSICO INC STATION 3,100 E Stevens Ave,Valhalla,NY,10595,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,41.095104,-73.77466,2024-10-29,175241,2024-10-29,,,,2021-01-27,J1772
ELEC,SUNY BUFFALO PARKER 7,185 Hayes Rd,Buffalo,NY,14214,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,42.951165,-78.822439,2024-10-29,182224,2024-10-29,,,,2021-01-27,J1772
ELEC,LEVITON MELVILLE 1,201 N Service Rd,Melville,NY,11747,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,40.783554,-73.419929,2024-10-29,183197,2024-10-29,,,,2021-01-27,J1772
ELEC,CHEEKTOWAGA BROADWAY #2,3301 Broadway,Cheektowaga,NY,14227,E,Public,24 hours daily,,0,1,0,ChargePoint Network,GPS,42.902643,-78.753096,2024-10-29,183764,2024-10-29,,,,2021-02-04,J1772
ELEC,SARATOGA CASINO STATION 4,342 Jefferson Street,Saratoga Springs,NY,12866,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,43.062278,-73.775976,2024-10-29,190794,2024-10-29,,,,2021-06-08,J1772
ELEC,320 Mason Ave,320 Mason Ave,New York,NY,10305,E,Public,24 hours daily,,0,4,0,FLO,GPS,40.584984,-74.088044,2024-10-29,223526,2024-10-29,,,,2022-07-15,J1772
ELEC,NYS Comptroller Office Garage,110 State Street,Albany,NY,12207,E,Public,24 hours daily,,0,8,0,LIVINGSTON,GPS,42.64936,-73.75435,2024-10-29,252716,2024-10-29,,,,2022-12-09,J1772
ELEC,WESTBROOKE WBC LODEN RIGHT,6 Loden Ln,Rochester,NY,14623,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,43.077368,-77.65157,2024-10-29,257135,2024-10-29,,,,2023-03-26,J1772
ELEC,KOEPPEL HYUNDAI CPE250 2,34- 45 43rd St,Queens,NY,11101,E,Public,24 hours daily,,0,0,1,ChargePoint Network,GPS,40.754044,-73.919245,2024-10-29,261699,2024-10-29,,,,2023-06-01,CHADEMO J1772COMBO
ELEC,Patchogue - Municipal parking lot,Oak Street,Patchogue,NY,11772,E,Public,24 hours daily,,0,4,0,FLO,GPS,40.766962,-73.012854,2024-10-29,262332,2024-10-29,,,,2023-06-07,J1772
ELEC,CENTERS HEALTHC EV-1,170 Buffalo Avenue,Brooklyn,NY,11213,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,40.673435,-73.926002,2024-10-29,329797,2024-10-29,,,,2024-03-05,J1772
ELEC,TOYOTA MASSAPEQ WEST,3660 NY-27,Seaford,NY,11783,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,40.673957,-73.49731,2024-10-29,331729,2024-10-29,,,,2024-04-05,J1772
ELEC,Bus Garage,2636 Genesee Street,Retsof,NY,14539,E,Public,,,0,2,0,NOODOE,GPS,42.830676,-77.888898,2024-10-29,333281,2024-10-29,,,,2024-04-22,J1772
ELEC,2360 Amsterdam Ave - Basement 2,2360 Amsterdam Ave,New York,NY,10033,E,Public,24 hours daily,A ANDROID_PAY APPLE_PAY D M V,0,10,0,EVOKE,GPS,40.846036,-73.933078,2024-10-11,356969,2024-10-11,P,,,2022-12-03,J1772
ELEC,HOSELTONCHEVY01 STATION 1,909 Fairport Rd,East Rochester,NY,14445,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,43.101796,-77.480894,2024-10-29,203290,2024-10-29,,,,2021-12-30,J1772
ELEC,BURNS MGT CARRIAGE 1,21 Carr Rd,Saratoga Springs,NY,12866,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,43.131242,-73.752015,2024-10-29,121487,2024-10-29,,,,2019-04-16,J1772
ELEC,GGMC Parking MODA - Tesla Destination,89-14 Parsons Blvd,Jamaica,NY,11432,E,Public,,,0,7,0,Tesla Destination,200-9,40.705133,-73.801443,2024-07-01,150686,2024-10-16,P,,,2018-10-17,J1772 TESLA
