Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,EV Connector Types
ELEC,Buffalo State - Cleveland Hall,1300 Elmwood Ave,,Buffalo,NY,14222,,716-878-3041,E,,Public,24 hours daily,,,2,,,Non-Networked,,GPS,42.932067,-78.881370,03/14/2024,104734,2024-03-14 18:02:10,P,,,02/01/2018,J1772
ELEC,Niagara Power Vista,5777 Lewiston Rd,,Lewiston,NY,14092,,,E,,Public,24 hours daily,,,6,,,Non-Networked,,GPS,43.140730,-79.037348,08/15/2024,147095,2024-08-15 19:57:12,SG,,,10/01/2019,J1772
ELEC,Hatchet Hardware of Waterford,42 Saratoga Ave,,Waterford,NY,12188,,888-356-8911,E,,Public,24 hours daily,,,2,,,FLO,https://flo.ca/,GPS,42.782254,-73.696148,10/29/2024,165117,2024-10-29 03:32:20,,,,08/11/2020,J1772
ELEC,PEPSICO INC STATION 3,100 E Stevens Ave,,Valhalla,NY,10595,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.095104,-73.774660,10/29/2024,175241,2024-10-29 01:12:11,,,,01/27/2021,J1772
ELEC,SUNY BUFFALO PARKER 7,185 Hayes Rd,,Buffalo,NY,14214,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.951165,-78.822439,10/29/2024,182224,2024-10-29 01:24:30,,,,01/27/2021,J1772
ELEC,LEVITON MELVILLE 1,201 N Service Rd,BACK PARKING LOT,Melville,NY,11747,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.783554,-73.419929,10/29/2024,183197,2024-10-29 01:08:13,,,,01/27/2021,J1772
ELEC,CHEEKTOWAGA BROADWAY #2,3301 Broadway,,Cheektowaga,NY,14227,,888-758-4389,E,,Public,24 hours daily,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.902643,-78.753096,10/29/2024,183764,2024-10-29 01:25:03,,,,02/04/2021,J1772
ELEC,SARATOGA CASINO STATION 4,342 Jefferson Street,,Saratoga Springs,NY,12866,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.062278,-73.775976,10/29/2024,190794,2024-10-29 01:02:48,,,,06/08/2021,J1772
ELEC,320 Mason Ave,320 Mason Ave,,New York,NY,10305,,888-356-8911,E,,Public,24 hours daily,,,4,,,FLO,https://flo.ca/,GPS,40.584984,-74.088044,10/29/2024,223526,2024-10-29 03:33:24,,,,07/15/2022,J1772
ELEC,NYS Comptroller Office Garage,110 State Street,,Albany,NY,12207,,1-844-623-1001,E,,Public,24 hours daily,,,8,,,LIVINGSTON,https://www.solution.energy,GPS,42.649360,-73.754350,10/29/2024,252716,2024-10-29 04:05:51,,,,12/09/2022,J1772
