id,station_name,city,state,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_count,latitude,longitude
104734,Buffalo State - Cleveland Hall,Buffalo,NY,0,2,0,42.932067,-78.88137
147095,Niagara Power Vista,Lewiston,NY,0,6,0,43.14073,-79.037348
165117,Hatchet Hardware of Waterford,Waterford,NY,0,2,0,42.782254,-73.696148
175241,PEPSICO INC STATION 3,Valhalla,NY,0,2,0,41.095104,-73.77466
182224,SUNY BUFFALO PARKER 7,Buffalo,NY,0,2,0,42.951165,-78.822439
183197,LEVITON MELVILLE 1,Melville,NY,0,2,0,40.783554,-73.419929
183764,CHEEKTOWAGA BROADWAY #2,Cheektowaga,NY,0,1,0,42.902643,-78.753096
190794,SARATOGA CASINO STATION 4,Saratoga Springs,NY,0,2,0,43.062278,-73.775976
223526,320 Mason Ave,New York,NY,0,4,0,40.584984,-74.088044
252716,NYS Comptroller Office Garage,Albany,NY,0,8,0,42.64936,-73.75435
257135,WESTBROOKE WBC LODEN RIGHT,Rochester,NY,0,2,0,43.077368,-77.65157
261699,KOEPPEL HYUNDAI CPE250 2,Queens,NY,0,0,1,40.754044,-73.919245
262332,Patchogue - Municipal parking lot,Patchogue,NY,0,4,0,40.766962,-73.012854
329797,CENTERS HEALTHC EV-1,Brooklyn,NY,0,2,0,40.673435,-73.926002
331729,TOYOTA MASSAPEQ WEST,Seaford,NY,0,2,0,40.673957,-73.49731
333281,Bus Garage,Retsof,NY,0,2,0,42.830676,-77.888898
356969,2360 Amsterdam Ave - Basement 2,New York,NY,0,10,0,40.846036,-73.933078
203290,HOSELTONCHEVY01 STATION 1,East Rochester,NY,0,2,0,43.101796,-77.480894
121487,BURNS MGT CARRIAGE 1,Saratoga Springs,NY,0,2,0,43.131242,-73.752015
150686,GGMC Parking MODA - Tesla Destination,Jamaica,NY,0,7,0,40.705133,-73.801443
44329,Kings Nissan,Brooklyn,NY,0,1,0,40.589167,-73.960707
206305,KIA ELMIRA CT-4020-1,Big Flats,NY,0,2,0,42.15519,-76.87137
251744,Auto Outlets of Wolcott,Wolcott,NY,0,6,0,43.20849,-76.81521
168464,Exit 21 (Catskill),Catskill,NY,0,2,0,42.246692,-73.885289
181903,MOHAWK HARBOR01 STATION #3,Schenectady,NY,0,2,0,42.825252,-73.93119
158614,Locey Lane,Central Valley,NY,0,4,0,41.31519,-74.135494
230953,Gateway to Mount Beacon,Beacon,NY,0,2,0,41.492889,-73.958454
226845,46-71 30th Place,Long Island City,NY,0,6,0,40.743643,-73.936591
334076,OYO Hotel Buena Vista Delhi,Delhi,NY,0,2,0,42.26519,-74.91968
350598,Westminster Place - West,Westminster,NY,0,10,0,43.1323,-76.20776
180156,RIVERHEAD RIVER 2 #1,Riverhead,NY,0,2,0,40.919684,-72.712696
